p_name,t_fips,t_cap,ylat,xlong,geometry
Alta I,6029.0,151500.0,35.03749833663366,-118.3715502970297,POINT (-118.3715502970297 35.03749833663366)
Alta II,6029.0,123000.0,35.02604558536585,-118.23378587804879,POINT (-118.23378587804876 35.02604558536585)
Alta III,6029.0,150000.0,35.00977766,-118.28385560000001,POINT (-118.28385559999998 35.00977766)
Alta IV,6029.0,111000.0,35.031884162162164,-118.31614702702703,POINT (-118.31614702702703 35.031884162162164)
Alta V,6029.0,168000.0,35.012836767857145,-118.24912071428571,POINT (-118.24912071428571 35.01283676785714)
Alta VI (partial),6029.0,138000.0,35.02289063043479,-118.30785536956522,POINT (-118.30785536956522 35.02289063043479)
Alta VIII (partial),6029.0,174000.0,35.001322775862064,-118.23265270689656,POINT (-118.23265270689654 35.001322775862064)
Alta X,6029.0,136800.0,35.097827,-118.23356854166667,POINT (-118.23356854166671 35.097826999999995)
Alta XI,6029.0,91350.0,35.08726142857143,-118.37666179591838,POINT (-118.3766617959184 35.08726142857142)
Amadeus,48151.0,250120.0,32.98368126041667,-100.55008864583334,POINT (-100.55008864583333 32.98368126041667)
Amazon Wind Farm (Fowler Ridge),18007.0,149500.0,40.63700964615385,-87.37770198461538,POINT (-87.37770198461538 40.63700964615384)
Amazon Wind Farm Texas,48415.0,253000.0,32.8924993,-100.98864878181818,POINT (-100.98864878181818 32.89249929999999)
Amazon Wind Farm US Central,39125.0,100800.0,41.12734591666666,-84.76025795833333,POINT (-84.76025795833333 41.12734591666668)
Amazon Wind Farm US East,37143.0,208000.0,36.31688135576923,-76.419514375,POINT (-76.41951437499998 36.316881355769226)
Anacacho,48271.0,99000.0,29.190197527272726,-100.19209812727273,POINT (-100.19209812727273 29.190197527272737)
Anderson Wind Project,35005.0,14950.0,33.02113625,-103.861151625,POINT (-103.861151625 33.02113625)
Anheuser-Busch Fairfield,6095.0,3350.0,38.2329005,-122.090683,POINT (-122.090683 38.2329005)
Antrim,33011.0,28800.0,43.055370777777775,-72.01621666666666,POINT (-72.01621666666668 43.05537077777778)
Appaloosa Run,48461.0,171851.0,31.16289029032258,-101.83173161290323,POINT (-101.83173161290324 31.162890290322576)
Apple Blossom,26063.0,100050.0,43.81421206896552,-83.30664672413792,POINT (-83.30664672413792 43.81421206896551)
Applied Materials,25009.0,2500.0,42.628193,-70.649399,POINT (-70.649399 42.628193)
Aragonne Mesa 2,35019.0,134600.0,34.82466454,-105.0273107,POINT (-105.02731069999999 34.82466454)
Aragonne Mesa 2 Expansion,35019.0,91500.0,34.81224866666667,-105.07854281818183,POINT (-105.07854281818182 34.81224866666667)
Arbor Hill,19001.0,250000.0,41.4475944,-94.32338996,POINT (-94.32338996000003 41.44759440000001)
Arbor Hill 2019,19001.0,61400.0,41.47206676470588,-94.39114970588236,POINT (-94.39114970588237 41.47206676470588)
Arbuckle Mountain,40099.0,100000.0,34.38900292,-97.17446172,POINT (-97.17446172000001 34.389002919999996)
Arkwright Summit,36013.0,78400.0,42.40774783333333,-79.23183255555556,POINT (-79.23183255555556 42.40774783333333)
Armadillo Flats,40047.0,208450.0,36.30911776923077,-97.55358678846154,POINT (-97.55358678846156 36.30911776923075)
Armenia Mountain,42015.0,100500.0,41.75550283582089,-76.89046049253731,POINT (-76.89046049253734 41.7555028358209)
Arnold Wind Farm,27105.0,1650.0,43.752693,-95.844292,POINT (-95.844292 43.752693)
Ashtabula II,38091.0,120000.0,47.295864699999996,-97.94569835,POINT (-97.94569834999999 47.295864699999996)
Ashtabula III,38003.0,62400.0,47.16775841025641,-97.93216600000001,POINT (-97.93216599999998 47.16775841025641)
Ashtabula Wind Center,38003.0,196500.0,47.11893836641221,-97.91973435114504,POINT (-97.91973435114505 47.11893836641222)
August Wind Energy LLC,19173.0,1790.0,40.764946,-94.475632,POINT (-94.475632 40.764946)
Aurora County Wind,46003.0,20700.0,43.71631522222222,-98.75530322222222,POINT (-98.75530322222222 43.71631522222222)
Aurora Wind,38105.0,298800.0,48.50812191549296,-103.13593752112676,POINT (-103.13593752112679 48.508121915492964)
Auwahi Wind,15009.0,24000.0,20.59638475,-156.31828675,POINT (-156.31828675000003 20.596384750000002)
Aviator Wind,48081.0,525020.0,31.80976548167539,-100.64293207853403,POINT (-100.64293207853403 31.809765481675388)
Azure Sky Wind Project,48447.0,350150.0,33.16841805063291,-99.29152503797468,POINT (-99.29152503797471 33.168418050632916)
Baffin,48261.0,202000.0,27.171901653465348,-97.58823323762375,POINT (-97.58823323762377 27.171901653465362)
Baldwin,38015.0,102400.0,47.135104671875,-100.695913203125,POINT (-100.695913203125 47.135104671875006)
Balko Wind,40007.0,299700.0,36.517912814814814,-100.84378238888888,POINT (-100.84378238888885 36.51791281481482)
Ball Hill Wind,36013.0,107500.0,42.41056236,-79.13332580000001,POINT (-79.13332580000001 42.41056236)
Baron Winds I,36101.0,121800.0,42.4743105,-77.53565975000001,POINT (-77.53565975 42.4743105)
Barstow Marine Logistics Base,6071.0,1500.0,34.862396,-116.959785,POINT (-116.959785 34.862396)
Barton,19195.0,160000.0,43.3932908125,-93.08761530000001,POINT (-93.08761530000001 43.39329081250001)
Barton Chapel,48237.0,120000.0,33.07254148333333,-98.3298977,POINT (-98.3298977 33.072541483333325)
Bayonne Wind Energy Project,34017.0,1500.0,40.652794,-74.117699,POINT (-74.117699 40.652794)
Bear Creek,42079.0,24000.0,41.237073333333335,-75.75191808333334,POINT (-75.75191808333334 41.23707333333334)
Bearkat I,48173.0,196650.0,31.76515235087719,-101.59474747368421,POINT (-101.5947474736842 31.765152350877198)
Bearkat II,48173.0,162150.0,31.757655106382977,-101.67409621276596,POINT (-101.674096212766 31.757655106382984)
Beaver Creek,19073.0,170000.0,42.10395584705883,-94.16040835294118,POINT (-94.16040835294118 42.10395584705883)
Beaver Creek II,19073.0,170000.0,42.10598424705882,-94.24860004705882,POINT (-94.24860004705886 42.105984247058814)
Beebe 1B,26057.0,50400.0,43.31596333333333,-84.52104228571429,POINT (-84.52104228571427 43.315963333333336)
Beebe Community Wind,26057.0,81600.0,43.271231176470586,-84.51723947058824,POINT (-84.51723947058825 43.271231176470586)
Beech Ridge,54025.0,100500.0,38.07845567164179,-80.52286543283583,POINT (-80.52286543283581 38.07845567164179)
Beech Ridge II,54025.0,56200.0,38.1013483,-80.6210555,POINT (-80.62105549999998 38.1013483)
"Beethoven Wind, LLC",46067.0,79550.0,43.17503081395349,-98.07688037209302,POINT (-98.07688037209302 43.17503081395349)
Bennington,17123.0,93060.0,40.96336836363636,-89.0799650909091,POINT (-89.0799650909091 40.963368363636356)
Benson Creek,41001.0,10000.0,44.4184318,-117.2741058,POINT (-117.27410579999999 44.41843179999999)
Bent Tree,27047.0,201300.0,43.757521877049186,-93.46285785245901,POINT (-93.46285785245908 43.75752187704919)
Berkshire Wind,25003.0,15000.0,42.5852712,-73.2749786,POINT (-73.2749786 42.5852712)
Berkshire Wind Power Project Phase II,25003.0,4600.0,42.5982305,-73.2721135,POINT (-73.2721135 42.5982305)
Bethel,48069.0,276000.0,34.57434908333333,-102.46911675,POINT (-102.46911675000003 34.57434908333333)
Big Blue Wind Farm,27043.0,36000.0,43.623463944444445,-94.21758566666666,POINT (-94.21758566666666 43.62346394444445)
Big Horn,53039.0,199500.0,45.88289939097744,-120.28186091729323,POINT (-120.28186091729324 45.88289939097746)
Big Horn 2,53039.0,50000.0,45.94081088,-120.2897824,POINT (-120.28978240000002 45.94081087999999)
Big Level,42105.0,90000.0,41.89435388,-77.67979832,POINT (-77.67979832 41.89435388)
Big Sky Wind,17103.0,250300.0,41.587522526315794,-89.4214401491228,POINT (-89.42144014912287 41.58752252631577)
Big Smile Wind Farm at Dempsey Ridge,40129.0,132000.0,35.53833181818182,-99.81704481818181,POINT (-99.81704481818178 35.538331818181824)
Big Spring I,48227.0,29370.0,32.19098341860465,-101.40219809302324,POINT (-101.40219809302327 32.19098341860466)
Big Spring II,48227.0,5750.0,32.21389533333333,-101.40072366666668,POINT (-101.40072366666668 32.21389533333333)
Big Timber,30097.0,25060.0,45.83571928571428,-109.6524185,POINT (-109.6524185 45.83571928571428)
Big Turtle,26063.0,20000.0,43.8764928,-82.7542846,POINT (-82.7542846 43.8764928)
Big Turtle II,26063.0,29400.0,43.92625485714286,-82.79507342857143,POINT (-82.79507342857141 43.92625485714286)
Biglow Canyon I,41055.0,125400.0,45.66690060526316,-120.6168012631579,POINT (-120.61680126315791 45.66690060526316)
Biglow Canyon II,41055.0,149500.0,45.64066655384615,-120.63882412307692,POINT (-120.63882412307694 45.64066655384615)
Biglow Canyon III,41055.0,174800.0,45.64124490789474,-120.55246807894737,POINT (-120.55246807894737 45.64124490789476)
Bingham Lake,27033.0,15000.0,43.960788083333334,-95.04368525,POINT (-95.04368525 43.960788083333334)
Bingham Wind,23021.0,184800.0,45.12696841071429,-69.69904194642858,POINT (-69.69904194642858 45.12696841071428)
Birch Power LLC,19173.0,1790.0,40.767693,-94.474396,POINT (-94.474396 40.767693)
Bishop Hill I,17073.0,211380.0,41.197277977443605,-90.15054191729324,POINT (-90.15054191729322 41.19727797744361)
Bishop Hill II,17073.0,81000.0,41.234164899999996,-90.14768796,POINT (-90.14768795999998 41.2341649)
Bishop Hill III,17073.0,132100.0,41.20611358490566,-90.28724005660378,POINT (-90.28724005660374 41.206113584905665)
Bison 1B (2011),38059.0,21000.0,46.96630628571428,-101.54644771428572,POINT (-101.54644771428572 46.96630628571428)
Bison Wind 1A,38059.0,36800.0,46.9812495,-101.529570125,POINT (-101.529570125 46.981249500000004)
Bison Wind 1B,38065.0,27000.0,47.00068066666667,-101.49725622222223,POINT (-101.49725622222223 47.00068066666667)
Bison Wind 2,38059.0,102000.0,46.95587129411765,-101.6431045,POINT (-101.64310449999999 46.95587129411764)
Bison Wind 3,38059.0,105000.0,46.955860542857145,-101.54044994285714,POINT (-101.54044994285712 46.955860542857145)
Bison Wind 4,38065.0,204800.0,47.0204974375,-101.630471453125,POINT (-101.63047145312501 47.0204974375)
Bitter Ridge,18075.0,146640.0,40.337432500000006,-85.10504825,POINT (-85.10504825000001 40.33743249999999)
Black Oak Getty,27145.0,78000.0,45.654480743589744,-95.01187956410256,POINT (-95.01187956410256 45.65448074358973)
Black Rock,54023.0,115000.0,39.315112652173916,-79.13391886956522,POINT (-79.1339188695652 39.31511265217391)
Blackjack Creek,48025.0,240000.0,28.25955782,-97.51792024000001,POINT (-97.51792023999998 28.25955782)
Blackstone (Top Crop),17099.0,102000.0,41.13534233823529,-88.61504163235293,POINT (-88.61504163235297 41.13534233823529)
Blackstone (Top Crop) II,17063.0,198000.0,41.16239508333333,-88.5386819469697,POINT (-88.53868194696973 41.162395083333365)
Blackwell,40071.0,59800.0,36.850940461538464,-97.42621499999998,POINT (-97.42621500000003 36.850940461538464)
Blazing Star 1,27081.0,200000.0,44.53719256,-96.37686905000001,POINT (-96.37686904999997 44.537192560000015)
Blazing Star 2,27081.0,218000.0,44.44472033,-96.32119655000001,POINT (-96.32119655000002 44.44472033000001)
Block Island,44009.0,30000.0,41.115392199999995,-71.5218874,POINT (-71.5218874 41.1153922)
Bloom,20057.0,178200.0,37.48988940740741,-99.95550337037037,POINT (-99.9555033703704 37.48988940740741)
Blooming Grove,17113.0,260920.0,40.65966675531915,-88.749488,POINT (-88.74948800000001 40.65966675531915)
Blue Breezes I & II,27043.0,2500.0,43.655834,-94.1549985,POINT (-94.1549985 43.655834)
Blue Canyon I,40031.0,74250.0,34.85319404444444,-98.5740784,POINT (-98.5740784 34.853194044444436)
Blue Canyon II,40075.0,162000.0,34.87527992682927,-98.63972432926829,POINT (-98.63972432926829 34.87527992682926)
Blue Canyon V,40031.0,99000.0,34.82014907575758,-98.47270166666667,POINT (-98.47270166666667 34.82014907575756)
Blue Canyon VI,40015.0,99000.0,34.913942945454544,-98.5538467090909,POINT (-98.55384670909089 34.913942945454544)
Blue Cloud I,48017.0,148350.0,34.05440223255814,-102.64636274418605,POINT (-102.64636274418604 34.05440223255814)
Blue Creek,39125.0,304000.0,40.96570829605263,-84.60631442763159,POINT (-84.6063144276316 40.96570829605261)
Blue Sky - Green Field,55039.0,145200.0,43.886278511363635,-88.2698404090909,POINT (-88.26984040909092 43.88627851136365)
Blue Summit,48487.0,139740.0,34.3048371882353,-99.3768711882353,POINT (-99.37687118823526 34.30483718823529)
Blue Summit II,48197.0,99360.0,34.23205726829268,-99.4727716097561,POINT (-99.47277160975608 34.232057268292685)
Blue Summit III,48197.0,200200.0,34.178861097560976,-99.5535338414634,POINT (-99.5535338414634 34.178861097560954)
Bluegrass Ridge,29075.0,56700.0,40.08592629629629,-94.49275148148148,POINT (-94.49275148148148 40.0859262962963)
Bluestem,40007.0,198000.0,36.552146,-100.58754693333334,POINT (-100.58754693333339 36.552146000000015)
Bluestem Franklin County Wind Project (SPPW1),31061.0,5640.0,40.3134555,-98.958538,POINT (-98.958538 40.3134555)
Bluestone Wind,36007.0,111800.0,42.09650696153846,-75.5098243076923,POINT (-75.50982430769233 42.096506961538466)
Bluff Point,18135.0,117600.0,40.3229045,-84.94708932142858,POINT (-84.94708932142858 40.32290449999999)
Bobcat Bluff,48009.0,162000.0,33.5035497,-98.57871386000001,POINT (-98.57871386000002 33.50354970000001)
Boiling Springs,40153.0,148400.0,36.54506608333334,-99.32701093333334,POINT (-99.32701093333336 36.54506608333333)
Border Winds Project,38079.0,150000.0,48.96476508,-99.60268745333333,POINT (-99.60268745333335 48.96476508000001)
Borderlands,35003.0,99800.0,34.13207829411765,-108.89782067647059,POINT (-108.89782067647062 34.132078294117655)
Bowling Green Municipal,39173.0,3600.0,41.375391,-83.740997,POINT (-83.740997 41.375391)
Brady Wind I,38089.0,149730.0,46.65658397701149,-102.75379697701149,POINT (-102.75379697701149 46.65658397701149)
Brady Wind II,38041.0,149030.0,46.60180347222222,-102.78960855555556,POINT (-102.78960855555553 46.60180347222222)
"Brahms Wind, LLC",35009.0,19800.0,34.746872083333336,-103.3032715,POINT (-103.3032715 34.746872083333336)
Brazos Wind Ranch,48033.0,3000.0,32.942678,-101.18167333333334,POINT (-101.18167333333332 32.942677999999994)
Brazos Wind Repower,48415.0,182400.0,32.940617157894735,-101.19581042105263,POINT (-101.19581042105263 32.94061715789474)
Breckinridge,40047.0,96900.0,36.44769701754387,-97.67607912280701,POINT (-97.676079122807 36.44769701754387)
Bright Stalk,17113.0,205200.0,40.68183138596491,-88.66247926315789,POINT (-88.6624792631579 40.68183138596491)
Briscoe,48045.0,149850.0,34.37560908641975,-101.31016707407407,POINT (-101.31016707407407 34.37560908641977)
Broadlands,17041.0,199800.0,39.8577799375,-88.00763410416666,POINT (-88.00763410416668 39.8577799375)
Broadview Energy JN LLC,48117.0,181700.0,34.80103429113924,-103.04212893670886,POINT (-103.04212893670885 34.80103429113923)
Broadview Energy KW LLC,35009.0,142600.0,34.751151274193546,-103.12166211290322,POINT (-103.12166211290325 34.75115127419353)
Broken Bow I,31041.0,80000.0,41.458248860000005,-99.55834302,POINT (-99.55834302000001 41.45824886)
Broken Bow II,31041.0,73100.0,41.52936555813954,-99.56019325581396,POINT (-99.56019325581397 41.52936555813953)
Bronco Plains,8063.0,299360.0,39.088542027777784,-103.01715875925926,POINT (-103.01715875925923 39.088542027777784)
Bronco Plains Wind II,8063.0,199040.0,39.21439476388889,-102.97571501388889,POINT (-102.97571501388889 39.2143947638889)
Brookfield Tehachapi 1 (CCDLP),6029.0,78000.0,35.05993357692308,-118.32547907692309,POINT (-118.3254790769231 35.059933576923086)
Brookfield Tehachapi 2,6029.0,24000.0,35.047239375000004,-118.244142625,POINT (-118.24414262500001 35.047239375000004)
Brookfield Wind Park,26063.0,74800.0,43.731447045454544,-83.30756461363636,POINT (-83.30756461363637 43.73144704545454)
Brown County Wind Turbine,17009.0,1500.0,39.973492,-90.699394,POINT (-90.699394 39.973492)
Bruenning's Breeze,48489.0,228000.0,26.522557921052634,-97.67513413157894,POINT (-97.67513413157897 26.522557921052634)
Brule County Wind,46015.0,20700.0,43.71455511111111,-98.92246922222222,POINT (-98.92246922222222 43.7145551111111)
Buckeye,20051.0,200480.0,38.99665910714286,-99.45016817857143,POINT (-99.45016817857139 38.996659107142854)
Buckthorn,48143.0,100050.0,32.36647513793103,-98.39685386206897,POINT (-98.39685386206897 32.36647513793104)
Buena Vista,6013.0,38000.0,37.800947842105266,-121.65827681578948,POINT (-121.65827681578948 37.800947842105266)
Buffalo Bear,40059.0,18900.0,36.774128,-99.65531322222222,POINT (-99.65531322222223 36.774128000000005)
Buffalo Dunes,20067.0,249750.0,37.63753567407407,-101.08983866666667,POINT (-101.08983866666665 37.63753567407403)
Buffalo Gap 2,48353.0,232500.0,32.34234388387097,-100.21195772258064,POINT (-100.21195772258065 32.342343883870974)
Buffalo Gap 3,48441.0,170200.0,32.295966324324326,-100.15875225675676,POINT (-100.15875225675673 32.29596632432432)
Buffalo Gap Wind Farm,48441.0,115200.0,32.307736359375,-100.11982171875,POINT (-100.11982171875002 32.30773635937498)
Buffalo Mountain,47001.0,27000.0,36.12700653333333,-84.34895426666667,POINT (-84.34895426666667 36.12700653333333)
Buffalo Mountain (Windrock),47001.0,1980.0,36.12078233333333,-84.33868666666666,POINT (-84.33868666666666 36.12078233333334)
Buffalo Ridge,27081.0,163200.0,44.308942781249996,-96.328230375,POINT (-96.32823037499998 44.30894278124999)
Buffalo Ridge II,46011.0,210000.0,44.52619211428571,-96.63122100952381,POINT (-96.63122100952384 44.52619211428575)
Bull Creek,48033.0,180000.0,32.93194607777778,-101.58032834444445,POINT (-101.5803283444445 32.93194607777779)
Bull Hill,23009.0,34200.0,44.71700136842105,-68.15921063157894,POINT (-68.15921063157894 44.71700136842105)
Bulldog,19001.0,1500.0,41.225693,-94.440491,POINT (-94.440491 41.225693)
Burley Butte,16031.0,19500.0,42.489186153846155,-113.92283453846154,POINT (-113.92283453846153 42.489186153846155)
Busch Ranch,8055.0,28800.0,37.7818876875,-104.471851375,POINT (-104.471851375 37.781887687499996)
Busch Ranch II,8055.0,59400.0,37.77590837037037,-104.42101603703703,POINT (-104.42101603703702 37.77590837037037)
Butler Ridge,55027.0,54000.0,43.40998625,-88.48083383333334,POINT (-88.48083383333329 43.40998625)
CED Centerville Wind Project,19007.0,7900.0,40.70174033333333,-92.85354866666667,POINT (-92.85354866666667 40.70174033333333)
CED Manchester Wind,19055.0,7900.0,42.45847833333334,-91.53232333333334,POINT (-91.53232333333334 42.45847833333334)
Cabazon,6065.0,77190.0,33.91301501818182,-116.72201328181818,POINT (-116.72201328181816 33.91301501818183)
Cabazon-Shell,6065.0,1980.0,33.90714033333333,-116.73481,POINT (-116.73481 33.90714033333334)
Cactus Flats,48095.0,148350.0,31.111067000000002,-100.01763153488372,POINT (-100.01763153488369 31.111067000000002)
Caddo,40015.0,310200.0,35.00337206363636,-98.3989978909091,POINT (-98.39899789090913 35.003372063636355)
California Ridge,17183.0,217080.0,40.21892957462686,-87.89377190298507,POINT (-87.8937719029851 40.218929574626856)
California State Prison Los Angeles County,6037.0,1850.0,34.691982,-118.221596,POINT (-118.221596 34.691982)
Callahan Divide,48441.0,114000.0,32.32081290789474,-100.00517267105263,POINT (-100.00517267105266 32.32081290789474)
Camelot Wind Project,25023.0,1500.0,41.925491,-70.644302,POINT (-70.644302 41.925491)
Cameron,48061.0,165000.0,26.192765018181817,-97.48520967272727,POINT (-97.48520967272728 26.19276501818182)
Cameron Ridge,6029.0,11900.0,35.07882629411765,-118.31030329411765,POINT (-118.31030329411766 35.07882629411765)
Camp Grove,17123.0,150000.0,41.07716979,-89.6231581,POINT (-89.62315810000001 41.07716978999999)
Camp Reed,16039.0,22500.0,42.816200800000004,-115.057775,POINT (-115.05777500000002 42.816200800000004)
Camp Springs,48415.0,130500.0,32.76485559770115,-100.80783393103448,POINT (-100.80783393103448 32.76485559770115)
Camp Springs II,48415.0,120000.0,32.7300226,-100.81512703749999,POINT (-100.81512703749999 32.7300226)
Campbell County,46021.0,93500.0,45.78931663636363,-100.27516132727273,POINT (-100.27516132727273 45.78931663636363)
Campbell Hill,56009.0,99000.0,43.01491875757576,-106.00087807575758,POINT (-106.00087807575754 43.014918757575764)
Canadian Breaks,48359.0,193200.0,35.199330845238094,-102.31495852380952,POINT (-102.31495852380957 35.1993308452381)
Canadian Hills,40017.0,298450.0,35.65963656296296,-98.09293302222223,POINT (-98.09293302222216 35.65963656296293)
Caney River,20049.0,199800.0,37.427595630630634,-96.43410018018018,POINT (-96.43410018018021 37.42759563063064)
Canton Mountain,23017.0,22800.0,44.51365275,-70.303584,POINT (-70.303584 44.51365274999999)
Canyon Wind,48415.0,308820.0,32.61592038738738,-100.9693402072072,POINT (-100.96934020720722 32.61592038738739)
Capricorn Ridge,48431.0,367000.0,31.931010947619047,-100.89527396666666,POINT (-100.89527396666664 31.93101094761905)
Capricorn Ridge expansion,48431.0,295500.0,31.93225767005076,-100.96459944162436,POINT (-100.96459944162434 31.932257670050763)
Caprock Wind Ranch,35037.0,80000.0,34.9790339375,-103.35033778750001,POINT (-103.35033778750001 34.979033937500006)
Cardinal Point,17109.0,150000.0,40.61724796666667,-90.76355996666666,POINT (-90.76355996666666 40.61724796666665)
Carleton College,27131.0,3250.0,44.463867,-93.120903,POINT (-93.120903 44.463867)
Carousel,8063.0,147900.0,39.36857622988506,-102.14291727586206,POINT (-102.14291727586205 39.36857622988506)
Carroll,19027.0,159120.0,42.150064089999994,-94.94529587000001,POINT (-94.94529587000007 42.15006408999998)
Carroll Area,19027.0,20700.0,41.94313811111111,-94.89090900000001,POINT (-94.89090900000001 41.94313811111111)
Casa Mesa,35037.0,50900.0,34.60522866666666,-103.97612104761905,POINT (-103.97612104761906 34.60522866666666)
Case Western University,39035.0,1325.0,41.56887833333334,-81.53335566666667,POINT (-81.53335566666667 41.56887833333334)
Cashton Greens,55081.0,5000.0,43.736393,-90.8045425,POINT (-90.8045425 43.736393)
Casper Wind Farm,56025.0,16500.0,42.887266000000004,-106.2186979090909,POINT (-106.2186979090909 42.887266)
Cassadaga,36013.0,125475.0,42.31548521621622,-79.17470372972973,POINT (-79.17470372972974 42.31548521621621)
Casselman,42111.0,34500.0,39.859527695652176,-79.12841560869565,POINT (-79.12841560869565 39.859527695652176)
Cassia,16083.0,29400.0,42.865094428571425,-115.02425985714285,POINT (-115.02425985714287 42.865094428571425)
Castle Gap Wind,48281.0,196800.0,31.394512829268294,-98.36928931707318,POINT (-98.36928931707318 31.394512829268283)
Cayuga Ridge,17105.0,300000.0,40.97485053333333,-88.43775522,POINT (-88.43775522000001 40.97485053333335)
Cedar Bluff,20135.0,198690.0,38.671292756756756,-99.73485143243244,POINT (-99.73485143243244 38.67129275675674)
Cedar Creek,8123.0,300500.0,40.884233459854016,-104.02227181021898,POINT (-104.02227181021891 40.88423345985398)
Cedar Creek II,8123.0,248300.0,40.926349770491804,-103.78892336065573,POINT (-103.78892336065573 40.92634977049179)
Cedar Creek Wind,16011.0,159800.0,43.32485731914893,-112.00547951063831,POINT (-112.00547951063831 43.32485731914893)
Cedar Hills,38011.0,19500.0,46.24452346153846,-103.76811215384616,POINT (-103.76811215384616 46.24452346153846)
Cedar Point,8039.0,250200.0,39.446779496402876,-103.67020377697843,POINT (-103.6702037769784 39.4467794964029)
Cedar Ridge Wind Farm,55039.0,67650.0,43.71709687804878,-88.31090912195121,POINT (-88.31090912195123 43.71709687804877)
Cedar Springs I,56009.0,199400.0,43.07924736111111,-105.45061238888889,POINT (-105.45061238888886 43.079247361111115)
Cedar Springs II,56009.0,199400.0,42.95073276388889,-105.35419134722223,POINT (-105.35419134722225 42.950732763888894)
Cedar Springs III,56009.0,133280.0,43.08148529166667,-105.58364772916667,POINT (-105.58364772916673 43.08148529166666)
Cedro Hill,48479.0,150000.0,27.57627567,-98.90881179,POINT (-98.90881179000003 27.576275670000015)
Cemex Black Mountain Quarry,6071.0,3000.0,34.6221385,-117.111843,POINT (-117.111843 34.6221385)
Cemex Madison,6113.0,1500.0,38.687595,-121.935188,POINT (-121.935188 38.687595)
Cemex River Plant,6071.0,3200.0,34.5610465,-117.3065375,POINT (-117.3065375 34.5610465)
Centennial Wind Farm,40059.0,120000.0,36.6443484,-99.616877425,POINT (-99.61687742500004 36.64434839999999)
Central Community College-Hastings,31001.0,1700.0,40.569241,-98.334496,POINT (-98.334496 40.569241)
Central Plains,20203.0,99000.0,38.518559787878786,-101.15983603030304,POINT (-101.15983603030304 38.51855978787879)
Century,19079.0,150000.0,42.55180817,-93.66197781999999,POINT (-93.66197782 42.55180817)
Century Expansion,19079.0,50000.0,42.51563193333333,-93.65645055555557,POINT (-93.65645055555552 42.51563193333333)
Century Oak Wind,48059.0,153000.0,32.43042022222222,-99.18243135555555,POINT (-99.18243135555554 32.43042022222222)
Cerro Gordo Repower,19033.0,36800.0,43.062650687499996,-93.4565549375,POINT (-93.4565549375 43.062650687499996)
Chamberlain Wind Project,46015.0,2600.0,43.848543,-99.247841,POINT (-99.247841 43.848543)
"Champepaden, Chandler Hills Phase II",27101.0,1980.0,43.92022566666666,-95.95566033333334,POINT (-95.95566033333334 43.92022566666666)
Champion,48353.0,126500.0,32.39349276363637,-100.61237254545453,POINT (-100.61237254545458 32.39349276363637)
Chapman Ranch,48355.0,249075.0,27.598882481481482,-97.53454669135802,POINT (-97.53454669135802 27.598882481481482)
