keyname, keyvalue
  82.5   82.25  82.    81.75  81.5   81.25  81.    80.75  80.5   80.25
  80.    79.75  79.5   79.25  79.    78.75  78.5   78.25  78.    77.75
  77.5   77.25  77.    76.75  76.5   76.25  76.    75.75  75.5   75.25
  75.    74.75  74.5   74.25  74.    73.75  73.5   73.25  73.    72.75
  72.5   72.25  72.    71.75  71.5   71.25  71.    70.75  70.5   70.25
  70.    69.75  69.5   69.25  69.    68.75  68.5   68.25  68.    67.75
  67.5   67.25  67.    66.75  66.5   66.25  66.    65.75  65.5   65.25
  65.    64.75  64.5   64.25  64.    63.75  63.5   63.25  63.    62.75
  62.5   62.25  62.    61.75  61.5   61.25  61.    60.75  60.5   60.25
  60.    59.75  59.5   59.25  59.    58.75  58.5   58.25  58.    57.75
  57.5   57.25  57.    56.75  56.5   56.25  56.    55.75  55.5   55.25
  55.    54.75  54.5   54.25  54.    53.75  53.5   53.25  53.    52.75
  52.5   52.25  52.    51.75  51.5   51.25  51.    50.75  50.5   50.25
  50.    49.75  49.5   49.25  49.    48.75  48.5   48.25  48.    47.75
  47.5   47.25  47.    46.75  46.5   46.25  46.    45.75  45.5   45.25
  45.    44.75  44.5   44.25  44.    43.75  43.5   43.25  43.    42.75
  42.5   42.25  42.    41.75  41.5   41.25  41.    40.75  40.5   40.25
  40.    39.75  39.5   39.25  39.    38.75  38.5   38.25  38.    37.75
  37.5   37.25  37.    36.75  36.5   36.25  36.    35.75  35.5   35.25
  35.    34.75  34.5   34.25  34.    33.75  33.5   33.25  33.    32.75
  32.5   32.25  32.    31.75  31.5   31.25  31.    30.75  30.5   30.25
  30.    29.75  29.5   29.25  29.    28.75  28.5   28.25  28.    27.75
  27.5   27.25  27.    26.75  26.5   26.25  26.    25.75  25.5   25.25
  25.    24.75  24.5   24.25  24.    23.75  23.5   23.25  23.    22.75
  22.5   22.25  22.    21.75  21.5   21.25  21.    20.75  20.5   20.25
  20.    19.75  19.5   19.25  19.    18.75  18.5   18.25  18.    17.75
  17.5   17.25  17.    16.75  16.5   16.25  16.    15.75  15.5   15.25
  15.    14.75  14.5   14.25  14.    13.75  13.5   13.25  13.    12.75
  12.5   12.25  12.    11.75  11.5   11.25  11.    10.75  10.5   10.25
  10.     9.75   9.5    9.25   9.     8.75   8.5    8.25   8.     7.75
   7.5    7.25   7.     6.75   6.5    6.25   6.     5.75   5.5    5.25
   5.     4.75   4.5    4.25   4.     3.75   3.5    3.25   3.     2.75
   2.5    2.25   2.     1.75   1.5    1.25   1.     0.75   0.5    0.25
   0.    -0.25  -0.5   -0.75  -1.    -1.25  -1.5   -1.75  -2.    -2.25
  -2.5   -2.75  -3.    -3.25  -3.5   -3.75  -4.    -4.25  -4.5   -4.75
  -5.    -5.25  -5.5   -5.75  -6.    -6.25  -6.5   -6.75  -7.    -7.25
  -7.5   -7.75  -8.    -8.25  -8.5   -8.75  -9.    -9.25  -9.5   -9.75
 -10.   -10.25 -10.5  -10.75 -11.   -11.25 -11.5  -11.75 -12.   -12.25
 -12.5  -12.75 -13.   -13.25 -13.5  -13.75 -14.   -14.25 -14.5  -14.75
 -15.   -15.25 -15.5  -15.75 -16.   -16.25 -16.5  -16.75 -17.   -17.25
 -17.5  -17.75 -18.   -18.25 -18.5  -18.75 -19.   -19.25 -19.5  -19.75
 -20.   -20.25 -20.5  -20.75 -21.   -21.25 -21.5  -21.75 -22.   -22.25
 -22.5  -22.75 -23.   -23.25 -23.5  -23.75 -24.   -24.25 -24.5  -24.75
 -25.   -25.25 -25.5  -25.75 -26.   -26.25 -26.5  -26.75 -27.   -27.25
 -27.5  -27.75 -28.   -28.25 -28.5  -28.75 -29.   -29.25 -29.5  -29.75
 -30.   -30.25 -30.5  -30.75 -31.   -31.25 -31.5  -31.75 -32.   -32.25
 -32.5  -32.75 -33.   -33.25 -33.5  -33.75 -34.   -34.25 -34.5  -34.75
 -35.   -35.25 -35.5  -35.75 -36.   -36.25 -36.5  -36.75 -37.   -37.25
 -37.5  -37.75 -38.   -38.25 -38.5  -38.75 -39.   -39.25 -39.5  -39.75
 -40.   -40.25 -40.5  -40.75 -41.   -41.25 -41.5  -41.75 -42.   -42.25
 -42.5  -42.75 -43.   -43.25 -43.5  -43.75 -44.   -44.25 -44.5  -44.75
 -45.   -45.25 -45.5  -45.75 -46.   -46.25 -46.5  -46.75 -47.   -47.25
 -47.5  -47.75 -48.   -48.25 -48.5  -48.75 -49.   -49.25 -49.5  -49.75
 -50.   -50.25 -50.5  -50.75 -51.   -51.25 -51.5  -51.75 -52.   -52.25
 -52.5  -52.75 -53.   -53.25 -53.5  -53.75 -54.   -54.25 -54.5  -54.75
 -55.   -55.25 -55.5  -55.75 -56.   -56.25 -56.5  -56.75 -57.   -57.25
 -57.5  -57.75 -58.   -58.25 -58.5  -58.75 -59.   -59.25 -59.5  -59.75
 -60.   -60.25 -60.5  -60.75 -61.   -61.25 -61.5  -61.75 -62.   -62.25
 -62.5  -62.75 -63.   -63.25 -63.5  -63.75 -64.   -64.25 -64.5  -64.75
 -65.   -65.25 -65.5  -65.75 -66.   -66.25 -66.5  -66.75 -67.   -67.25
 -67.5  -67.75 -68.   -68.25 -68.5  -68.75 -69.   -69.25 -69.5  -69.75
 -70.   -70.25 -70.5  -70.75 -71.   -71.25 -71.5  -71.75 -72.   -72.25
 -72.5  -72.75 -73.   -73.25 -73.5  -73.75 -74.   -74.25 -74.5  -74.75
 -75.   -75.25 -75.5  -75.75 -76.   -76.25 -76.5  -76.75 -77.   -77.25
 -77.5  -77.75 -78.   -78.25 -78.5  -78.75 -79.   -79.25 -79.5  -79.75
 -80.   -80.25 -80.5  -80.75 -81.   -81.25 -81.5  -81.75 -82.   -82.25
 -82.5  -82.75 -83.   -83.25 -83.5  -83.75 -84.   -84.25 -84.5  -84.75
 -85.   -85.25 -85.5  -85.75 -86.   -86.25 -86.5  -86.75 -87.   -87.25
 -87.5  -87.75 -88.   -88.25 -88.5  -88.75 -89.   -89.25 -89.5  -89.75
 -90.  ]
distinctLongitudes , [0.0000e+00 2.5000e-01 5.0000e-01 ... 3.5925e+02 3.5950e+02 3.5975e+02]
gridType , regular_ll
md5Section3 , 45f3a4a8af23f33a77ab669d0fa1d813
isSpectral , 0
sectionNumber , [1 3 3 4 5 6 7]
section4Length , 34
numberOfSection , [1 3 4 5 6 7]
NV , 0
neitherPresent , 0
datasetForLocal , unknown
productDefinitionTemplateNumber , 0
genVertHeightCoords , 0
parameterCategory , 0
parameterNumber , 0
parameterUnits , K
parameterName , Temperature
typeOfGeneratingProcess , 2
backgroundProcess , 0
generatingProcessIdentifier , 96
hoursAfterDataCutoff , 0
minutesAfterDataCutoff , 0
indicatorOfUnitForForecastTime , 1
stepUnits , 1
forecastTime , 12
startStep , 12
endStep , 12
stepRange , 12
stepTypeInternal , instant
validityDate , 20241103
validityTime , 600
validityDateTime , 2460617.504166667
typeOfFirstFixedSurface , sfc
unitsOfFirstFixedSurface , m
nameOfFirstFixedSurface , Specified height level above ground
scaleFactorOfFirstFixedSurface , 0
scaledValueOfFirstFixedSurface , 2
typeOfSecondFixedSurface , 255
unitsOfSecondFixedSurface , unknown
nameOfSecondFixedSurface , Missing
scaleFactorOfSecondFixedSurface , 0
scaledValueOfSecondFixedSurface , 0
pressureUnits , hPa
typeOfLevel , heightAboveGround
level , 2
bottomLevel , 2
topLevel , 2
tempPressureUnits , hPa
levtype , sfc
tempLevtype , sfc
paramIdECMF , 167
paramId , 167
shortNameECMF , 2t
shortName , 2t
unitsECMF , K
units , K
nameECMF , 2 metre temperature
name , 2 metre temperature
cfNameECMF , air_temperature
cfName , air_temperature
cfVarNameECMF , t2m
cfVarName , t2m
ifsParam , 167
PVPresent , 0
deletePV , 1
md5Section4 , 922bccecbb7b65fa6bce6ce90831e2c1
lengthOfHeaders , 127
md5Headers , 9c419b6c7789f7a103e708b999eb815b
sectionNumber , [1 3 3 4 5 6 7]
section5Length , 49
numberOfSection , [1 3 4 5 6 7]
numberOfValues , 1038240
dataRepresentationTemplateNumber , 3
packingType , grid_complex_spatial_differencing
referenceValue , 23146.4453125
referenceValueError , 0.001953125
binaryScaleFactor , 0
decimalScaleFactor , 2
optimizeScaleFactor , 0
bitsPerValue , 12
typeOfOriginalFieldValues , 0
groupSplittingMethodUsed , 1
missingValueManagementUsed , 0
primaryMissingValueSubstitute , 1649987994
secondaryMissingValueSubstitute , 4294967295
numberOfGroupsOfDataValues , 32140
referenceForGroupWidths , 0
numberOfBitsUsedForTheGroupWidths , 4
referenceForGroupLengths , 1
lengthIncrementForTheGroupLengths , 1
trueLengthOfLastGroup , 41
numberOfBitsForScaledGroupLengths , 7
orderOfSpatialDifferencing , 2
numberOfOctetsExtraDescriptors , 2
md5Section5 , 2b4891af68728694c15f45071c4ab3ec
sectionNumber , [1 3 3 4 5 6 7]
section6Length , 6
numberOfSection , [1 3 4 5 6 7]
bitMapIndicator , 255
bitmapPresent , 0
missingValuesPresent , [0 0]
md5Section6 , 01522c0fd43e4befb347e7995baa0167
sectionNumber , [1 3 3 4 5 6 7]
section7Length , 872760
numberOfSection , [1 3 4 5 6 7]
codedValues , [261.44445312 261.44445312 261.44445312 ... 235.41445312 235.41445312
 235.41445312]
values , [[261.44445312 261.44445312 261.44445312 ... 261.44445312 261.44445312
  261.44445312]
 [262.25445312 262.24445313 262.24445313 ... 262.25445312 262.25445312
  262.25445312]
 [262.92445313 262.92445313 262.92445313 ... 262.92445313 262.92445313
  262.92445313]
 ...
 [235.57445312 235.57445312 235.57445312 ... 235.56445312 235.56445312
  235.56445312]
 [235.62445313 235.62445313 235.62445313 ... 235.62445313 235.62445313
  235.62445313]
 [235.41445312 235.41445312 235.41445312 ... 235.41445312 235.41445312
  235.41445312]]
maximum , 317.024453125
minimum , 231.464453125
average , 279.1547163589717
standardDeviation , 18.99618893852994
skewness , -0.6244707328112997
kurtosis , -0.5422469860298014
isConstant , 0.0
numberOfMissing , 0
changeDecimalPrecision , 2
decimalPrecision , 2
setBitsPerValue , 12
setPackingType , grid_complex_spatial_differencing
getNumberOfValues , 1038240
scaleValuesBy , 1.0
offsetValuesBy , 0.0
productType , unknown
md5Section7 , 65bc32fcd390f1148ba409c91f8aa8ed
section8Length , 4
isTemplateDeprecated , 0
isTemplateExperimental , 0
paramIdForConversion , 0
analDate , key error
validDate , key error
